BookTitle,Author,Edition,ProductType,CopyrightYear,CopyrightHolder,PrintISBN,ElectronicISBN,Language,eBookCollectionID,eBookCollectionEnglishName,SeriesID,SeriesPrintISSN,SeriesElectronicISSN,SeriesTitle,VolumeNumber,DOIURL,OpenURL,Marc21RecordDate,Marc21ChangeDate,Publisher,Imprint,OpenAccess,ReferenceWorkType
"Pastoral, Pragmatism, and Twentieth-Century American Poetry",A. Mikkelsen,2011,Monograph,2011,"Palgrave Macmillan, a division of Nature America Inc.",978-0-230-10583-6,978-0-230-11715-0,EN,41141,Palgrave Literature Collection,14799,2634-6052,2634-6060,Modern and Contemporary Poetry and Poetics,,https://doi.org/10.1057/9780230117150,https://link.springer.com/openurl?genre=book&isbn=978-0-230-11715-0,10/28/15,1/16/22,Palgrave Macmillan US,Palgrave Macmillan,FALSE,
"Charles Dickens, A Tale of Two Cities and the French Revolution","C. Jones, J. McDonagh, J. Mee",2009,Monograph,2009,"Palgrave Macmillan, a division of Macmillan Publishers Limited",978-0-230-53778-1,978-0-230-27389-4,EN,41149,Palgrave Literature & Performing Arts Collection,14607,2634-6494,2634-6508,Palgrave Studies in Nineteenth-Century Writing and Culture,,https://doi.org/10.1057/9780230273894,https://link.springer.com/openurl?genre=book&isbn=978-0-230-27389-4,12/11/15,1/13/22,Palgrave Macmillan UK,Palgrave Macmillan,FALSE,
National Identity in Global Cinema,C. Celli,2011,Monograph,2011,Carlo Celli,978-0-230-10882-0,978-0-230-11717-4,EN,41142,Palgrave Media & Culture Collection,,,,,,https://doi.org/10.1057/9780230117174,https://link.springer.com/openurl?genre=book&isbn=978-0-230-11717-4,2/1/16,8/10/23,Palgrave Macmillan US,Palgrave Macmillan,FALSE,
Crafting Jewishness in Medieval England,M. Krummel,2011,Monograph,2011,Miriamne Ara Krummel,978-0-230-61870-1,978-0-230-11718-1,EN,41141,Palgrave Literature Collection,14239,2945-5936,2945-5944,The New Middle Ages,,https://doi.org/10.1057/9780230117181,https://link.springer.com/openurl?genre=book&isbn=978-0-230-11718-1,11/10/15,3/11/22,Palgrave Macmillan US,Palgrave Macmillan,FALSE,
Performance and Cosmopolitics,"H. Gilbert, J. Lo",2007,Monograph,2009,"Palgrave Macmillan, a division of Macmillan Publishers Limited",978-0-230-00340-8,978-0-230-27392-4,EN,41149,Palgrave Literature & Performing Arts Collection,14467,2947-4949,2947-4957,Studies in International Performance,,https://doi.org/10.1057/9780230273924,https://link.springer.com/openurl?genre=book&isbn=978-0-230-27392-4,12/4/15,3/23/22,Palgrave Macmillan UK,Palgrave Macmillan,FALSE,
The Lesbian Premodern,"N. Giffney, M. Sauer,  ",2011,Monograph,2011,"Noreen Giffney, Michelle M. Sauer, and Diane Watt",978-0-230-61676-9,978-0-230-11719-8,EN,41141,Palgrave Literature Collection,14239,2945-5936,2945-5944,The New Middle Ages,,https://doi.org/10.1057/9780230117198,https://link.springer.com/openurl?genre=book&isbn=978-0-230-11719-8,11/25/15,8/29/18,Palgrave Macmillan US,Palgrave Macmillan,FALSE,
An Ethnography of Stress,V. Burbank,2011,Monograph,2011,Victoria Katherine Burbank,978-0-230-11022-9,978-0-230-11722-8,EN,41142,Palgrave Media & Culture Collection,14947,2637-6806,2634-517X,"Culture, Mind, and Society",,https://doi.org/10.1057/9780230117228,https://link.springer.com/openurl?genre=book&isbn=978-0-230-11722-8,11/6/15,2/23/22,Palgrave Macmillan US,Palgrave Macmillan,FALSE,
Tracing Dominican Identity,J. Valdez,2011,General interest,2011,"Palgrave Macmillan, a division of Nature America Inc.",978-0-230-10937-7,978-0-230-11721-1,EN,41141,Palgrave Literature Collection,,,,,,https://doi.org/10.1057/9780230117211,https://link.springer.com/openurl?genre=book&isbn=978-0-230-11721-1,10/14/15,1/21/22,Palgrave Macmillan US,Palgrave Macmillan,FALSE,
The Palgrave Literary Dictionary of Chaucer,M. Andrew,2006,Monograph,2006,"Palgrave Macmillan, a division of Macmillan Publishers Limited",978-0-333-99808-3,978-0-230-27396-2,EN,41149,Palgrave Literature & Performing Arts Collection,14684,,,Palgrave Literary Dictionaries,,https://doi.org/10.1057/9780230273962,https://link.springer.com/openurl?genre=book&isbn=978-0-230-27396-2,1/18/16,1/19/22,Palgrave Macmillan UK,Palgrave Macmillan,FALSE,
Contesting Genres in Contemporary Asian American Fiction,B. Huang,2010,Monograph,2010,Betsy Huang,978-0-230-10831-8,978-0-230-11732-7,EN,41141,Palgrave Literature Collection,,,,,,https://doi.org/10.1057/9780230117327,https://link.springer.com/openurl?genre=book&isbn=978-0-230-11732-7,10/28/15,1/16/22,Palgrave Macmillan US,Palgrave Macmillan,FALSE,
Violence Against Women in Early Modern Performance,Kim Solga,2009,Monograph,2009,"Palgrave Macmillan, a division of Macmillan Publishers Limited",978-0-230-21954-0,978-0-230-27405-1,EN,41149,Palgrave Literature & Performing Arts Collection,,,,,,https://doi.org/10.1057/9780230274051,https://link.springer.com/openurl?genre=book&isbn=978-0-230-27405-1,12/9/15,1/16/22,Palgrave Macmillan UK,Palgrave Macmillan,FALSE,
Inner Workings of the Novel,A. Pasco,2010,Monograph,2010,"Palgrave Macmillan, a division of Nature America Inc.",978-0-230-10698-7,978-0-230-11743-3,EN,41141,Palgrave Literature Collection,,,,,,https://doi.org/10.1057/9780230117433,https://link.springer.com/openurl?genre=book&isbn=978-0-230-11743-3,10/6/15,1/13/22,Palgrave Macmillan US,Palgrave Macmillan,FALSE,
